casino,year,inperson_revenue,igaming_revenue,sports_revenue,total_revenue,inperson_pct,igaming_pct,sports_pct
"BALLY'S ATLANTIC CITY",2022,153901425,41800963,3249296,198951684,77.36,21.01,1.63
"BORGATA HOTEL CASINO & SPA",2022,724421376,496273219,72480445,1293175040,56.02,38.38,5.6
"CAESARS ATLANTIC CITY",2022,235314172,113864631,2679654,351858457,66.88,32.36,0.76
"GOLDEN NUGGET",2022,148831314,397129633,1156110,547117057,27.2,72.59,0.21
"HARD ROCK ATLANTIC CITY",2022,492351916,69333599,8962176,570647691,86.28,12.15,1.57
"OCEAN CASINO RESORT",2022,356825403,29822515,2157530,388805448,91.77,7.67,0.55
"RESORTS CASINO HOTEL",2022,167338333,393311352,1907262,562556947,29.75,69.91,0.34
"TROPICANA CASINO & RESORT",2022,248775991,86556099,1938821,337270911,73.76,25.66,0.57
"BALLY'S ATLANTIC CITY",2023,155177784,82783024,2832383,240793191,64.44,34.38,1.18
"BORGATA HOTEL CASINO & SPA",2023,729668330,489895667,7613755,1227177752,59.46,39.92,0.62
"CAESARS ATLANTIC CITY",2023,231345344,90325664,508231,322179239,71.81,28.04,0.16
"GOLDEN NUGGET",2023,146108980,524786685,503335,671399000,21.76,78.16,0.07
"HARD ROCK ATLANTIC CITY",2023,512443908,80622772,6787635,599854315,85.43,13.44,1.13
"HARRAH'S ATLANTIC CITY",2023,254086888,158242,623240,254868370,99.69,0.06,0.24
"OCEAN CASINO RESORT",2023,414992536,54443957,1152361,470588854,88.19,11.57,0.24
"RESORTS CASINO HOTEL",2023,163544224,507767534,622745,671934503,24.34,75.57,0.09
"TROPICANA CASINO & RESORT",2023,240548435,92958504,509851,334016790,72.02,27.83,0.15
"BALLY'S ATLANTIC CITY",2024,145392260,109866310,9182236,264440806,54.98,41.55,3.47
"BORGATA HOTEL CASINO & SPA",2024,738106921,549621940,25898153,1313627014,56.19,41.84,1.97
"CAESARS ATLANTIC CITY",2024,218411324,18784640,1175472,238371436,91.63,7.88,0.49
"GOLDEN NUGGET",2024,147142190,688855231,864521,836861942,17.58,82.31,0.1
"HARD ROCK ATLANTIC CITY",2024,544933403,133343801,19881618,698158822,78.05,19.1,2.85
"HARRAH'S ATLANTIC CITY",2024,223878829,15469428,585193,239933450,93.31,6.45,0.24
"OCEAN CASINO RESORT",2024,409690587,70777485,2162160,482630232,84.89,14.66,0.45
"RESORTS CASINO HOTEL",2024,161879910,604850142,27155858,793885910,20.39,76.19,3.42
"TROPICANA CASINO & RESORT",2024,228071366,195595195,626246,424292807,53.75,46.1,0.15
"BALLY'S ATLANTIC CITY",2025,133025592,166786332,26884940,326696864,40.72,51.05,8.23
"BORGATA HOTEL CASINO & SPA",2025,800822567,673893441,23593304,1498309312,53.45,44.98,1.57
"GOLDEN NUGGET",2025,135805000,883600924,552015,1019957939,13.31,86.63,0.05
"HARD ROCK ATLANTIC CITY",2025,550847620,184077814,14477071,749402505,73.5,24.56,1.93
"HARRAH'S ATLANTIC CITY",2025,225008150,35284132,1199933,261492215,86.05,13.49,0.46
"OCEAN CASINO RESORT",2025,468098655,58999627,5118104,532216386,87.95,11.09,0.96
"RESORTS CASINO HOTEL",2025,159864834,654557124,98300925,912722883,17.52,71.71,10.77
"TROPICANA CASINO & RESORT",2025,216804234,254041924,1057504,471903662,45.94,53.83,0.22
