year,casino,market_share
2022,"BORGATA HOTEL CASINO & SPA",26.01
2022,"HARD ROCK ATLANTIC CITY",17.67
2022,"OCEAN CASINO RESORT",12.81
2022,"HARRAH'S ATLANTIC CITY",9.26
2022,"TROPICANA CASINO & RESORT",8.93
2022,"CAESARS ATLANTIC CITY",8.45
2022,"RESORTS CASINO HOTEL",6.01
2022,"BALLY'S ATLANTIC CITY",5.52
2022,"GOLDEN NUGGET",5.34
2023,"BORGATA HOTEL CASINO & SPA",25.62
2023,"HARD ROCK ATLANTIC CITY",17.99
2023,"OCEAN CASINO RESORT",14.57
2023,"HARRAH'S ATLANTIC CITY",8.92
2023,"TROPICANA CASINO & RESORT",8.45
2023,"CAESARS ATLANTIC CITY",8.12
2023,"RESORTS CASINO HOTEL",5.74
2023,"BALLY'S ATLANTIC CITY",5.45
2023,"GOLDEN NUGGET",5.13
2024,"BORGATA HOTEL CASINO & SPA",26.20
2024,"HARD ROCK ATLANTIC CITY",19.34
2024,"OCEAN CASINO RESORT",14.54
2024,"TROPICANA CASINO & RESORT",8.09
2024,"HARRAH'S ATLANTIC CITY",7.95
2024,"CAESARS ATLANTIC CITY",7.75
2024,"RESORTS CASINO HOTEL",5.75
2024,"GOLDEN NUGGET",5.22
2024,"BALLY'S ATLANTIC CITY",5.16
2025,"BORGATA HOTEL CASINO & SPA",27.67
2025,"HARD ROCK ATLANTIC CITY",19.03
2025,"OCEAN CASINO RESORT",16.17
2025,"HARRAH'S ATLANTIC CITY",7.77
2025,"TROPICANA CASINO & RESORT",7.49
2025,"CAESARS ATLANTIC CITY",7.04
2025,"RESORTS CASINO HOTEL",5.52
2025,"GOLDEN NUGGET",4.69
2025,"BALLY'S ATLANTIC CITY",4.60
